312,CARDINAL STRITCH HIGH SCHOOL OREGON,"3225 PICKLE ROAD    OREGON, OH 43616-4099"
314,CARDINGTON-LINCOLN HIGH SCHOOL CARDINGTON,"349 CHESTERVILLE AVE    CARDINGTON, OH 43315-9301"
316,CAREY HIGH SCHOOL CAREY,"357 E SOUTH STREET    CAREY, OH 43316-1234"
318,CARLISLE HIGH SCHOOL CARLISLE,"250 JAMAICA ROAD    CARLISLE, OH 45005-3106"
320,CARROLL HIGH SCHOOL DAYTON,"4524 LINDEN AVE    DAYTON, OH 45432-3026"
322,CARROLLTON HIGH SCHOOL CARROLLTON,"252 THIRD ST NE    CARROLLTON, OH 44615-1236"
324,CATHOLIC CENTRAL HIGH SCHOOL SPRINGFIELD,"1200 E HIGH ST    SPRINGFIELD, OH 45505-1124"
326,CATHOLIC CENTRAL HIGH SCHOOL STEUBENVILLE,"320 WESTVIEW AVE    STEUBENVILLE, OH 43952-2303"
328,CEDARVILLE HIGH SCHOOL CEDARVILLE,"248 N MAIN ST    CEDARVILLE, OH 45314"
330,CELINA HIGH SCHOOL CELINA,"715 E WAYNE ST    CELINA, OH 45822-1357"
332,CENTENNIAL HIGH SCHOOL COLUMBUS,"1441 BETHEL RD    COLUMBUS, OH 43220-2001"
334,CENTERBURG HIGH SCHOOL CENTERBURG,"3782 COLUMBUS ROAD    CENTERBURG, OH 43011-9475"
336,CENTERVILLE HIGH SCHOOL CENTERVILLE,"500 E FRANKLIN ST    CENTERVILLE, OH 45459-5714"
342,CENTRAL CATHOLIC HIGH SCHOOL TOLEDO,"2550 CHERRY ST    TOLEDO, OH 43608-2372"
341,CENTRAL CHRISTIAN HIGH SCHOOL KIDRON,"3970 KIDRON RD    KIDRON, OH 44636"
345,CENTRAL CROSSING HIGH SCHOOL GROVE CITY,"4500 BIG RUN SOUTH RD    GROVE CITY, OH 43123-9687"
344,CENTRAL-HOWER HIGH SCHOOL AKRON,
346,CHAGRIN FALLS HIGH SCHOOL CHAGRIN FALLS,"400 E WASHINGTON ST    CHAGRIN FALLS, OH 44022-2924"
348,CHALKER HIGH SCHOOL SOUTHINGTON,"2482 ST. RT. 534    SOUTHINGTON, OH 44470-9721"
352,CHAMINADE-JULIENNE HIGH SCHOOL DAYTON,"505 S LUDLOW STREET    DAYTON, OH 45402-2606"
354,CHAMPION HIGH SCHOOL WARREN,"5976 MAHONING AVE NW    WARREN, OH 44483-1144"
358,CHANEY HIGH SCHOOL YOUNGSTOWN,
360,CHARDON HIGH SCHOOL CHARDON,"151 CHARDON AVE    CHARDON, OH 44024-1057"
362,CHESAPEAKE HIGH SCHOOL CHESAPEAKE,"10181 COUNTY ROAD 1    CHESAPEAKE, OH 45619-0458"
